HOG	OG	Gene Tree Parent Clade	collinsella_aerofaciens	collinsella_intestinalis	collinsella_provencensis	senegalimassilia_anaerobia	senegalimassilia_faecalis
N0.HOG0000386	OG0000335	n0	WP_082421874.1	WP_006723811.1	WP_199824881.1	WP_042432326.1	WP_129423551.1
N0.HOG0000387	OG0000336	n0	WP_082421942.1	WP_118272202.1	WP_102338137.1	WP_238318256.1	WP_269089564.1
N0.HOG0000388	OG0000337	n0	WP_082435590.1	WP_152063745.1	WP_102338424.1	WP_081468892.1	WP_201738612.1
N0.HOG0000389	OG0000338	n0	WP_089571579.1	WP_152063305.1	WP_102337629.1	WP_042433317.1	WP_129423062.1
N0.HOG0000390	OG0000339	n0	WP_089571585.1	WP_152063298.1	WP_102337613.1	WP_042433715.1	WP_129423054.1
N0.HOG0000391	OG0000340	n0	WP_089571912.1	WP_152063145.1	WP_102337438.1	WP_042436015.1	WP_129424913.1
N0.HOG0000392	OG0000341	n0	WP_089572163.1	WP_006722223.1	WP_102337268.1	WP_042432855.1	WP_129423207.1
N0.HOG0000393	OG0000342	n0	WP_089572175.1	WP_152063388.1	WP_102337263.1	WP_042435389.1	WP_129425461.1
N0.HOG0000394	OG0000343	n0	WP_124785814.1, WP_117647586.1, WP_089572477.1, WP_117564943.1	WP_118272399.1			
N0.HOG0000395	OG0000344	n0	WP_089572481.1	WP_006723052.1	WP_102338398.1	WP_042433272.1	WP_129423083.1
N0.HOG0000396	OG0000345	n0	WP_089572520.1	WP_006723109.1	WP_102338416.1	WP_042434723.1	WP_129424198.1
N0.HOG0000397	OG0000346	n0	WP_089572532.1	WP_006723124.1	WP_102337797.1	WP_042432569.1	WP_129423342.1
N0.HOG0000398	OG0000347	n0	WP_089572584.1	WP_006723463.1	WP_102338109.1	WP_042432250.1	WP_129423491.1
N0.HOG0000399	OG0000348	n0	WP_089572694.1	WP_152063857.1	WP_102338569.1	WP_222859228.1	WP_236648268.1
N0.HOG0000400	OG0000349	n0	WP_089573257.1	WP_152063508.1	WP_102338169.1	WP_042434778.1	WP_129424156.1
N0.HOG0000401	OG0000350	n0	WP_089573296.1	WP_006723876.1	WP_102338648.1	WP_042434641.1	WP_129425168.1
N0.HOG0000402	OG0000351	n0	WP_089573364.1	WP_006722668.1	WP_234346159.1	WP_042434252.1	WP_129422857.1
N0.HOG0000403	OG0000352	n0	WP_089573561.1	WP_006723032.1	WP_102337780.1	WP_042432916.1	WP_129423187.1
N0.HOG0000404	OG0000353	n0	WP_089573609.1	WP_006723619.1	WP_102337745.1	WP_042433921.1	WP_129422978.1
N0.HOG0000405	OG0000354	n0	WP_089573611.1	WP_226803172.1	WP_102337738.1	WP_238318288.1	WP_201738803.1
N0.HOG0000406	OG0000355	n0	WP_089573615.1	WP_006723630.1	WP_102337732.1	WP_042432929.1	WP_129423182.1
N0.HOG0000407	OG0000356	n0	WP_089573670.1	WP_152062734.1	WP_102338265.1	WP_081468910.1	WP_129423376.1
N0.HOG0000408	OG0000357	n0	WP_089573671.1	WP_152062735.1	WP_234346308.1	WP_042435662.1	WP_129424608.1
N0.HOG0000409	OG0000358	n0	WP_089573672.1	WP_152062736.1	WP_102338264.1	WP_081469034.1	WP_129425184.1
N0.HOG0000410	OG0000359	n0	WP_089573682.1	WP_006723561.1	WP_102338049.1	WP_181859389.1	WP_236648281.1
N0.HOG0000411	OG0000360	n0	WP_099431435.1	WP_152062811.1	WP_102337718.1	WP_042434353.1	WP_129422814.1
N0.HOG0000412	OG0000361	n0	WP_099431436.1	WP_006723640.1	WP_102337717.1	WP_042434350.1	WP_129422815.1
N0.HOG0000413	OG0000362	n0	WP_099431635.1	WP_226803238.1	WP_234346175.1	WP_042434372.1	WP_129422807.1
N0.HOG0000414	OG0000363	n0	WP_099431674.1	WP_152063246.1	WP_102337529.1	WP_042434947.1	WP_129424011.1
N0.HOG0000415	OG0000364	n0	WP_099431806.1	WP_006722476.1	WP_102337554.1	WP_238318268.1	WP_129422915.1
N0.HOG0000416	OG0000365	n0	WP_099432018.1	WP_152062881.1	WP_102337758.1	WP_042433874.1	WP_129422996.1
N0.HOG0000417	OG0000366	n0	WP_099432166.1	WP_006723743.1	WP_102338332.1	WP_042432683.1	WP_129423293.1
N0.HOG0000418	OG0000367	n0	WP_099432471.1	WP_152062708.1	WP_102338236.1	WP_042432209.1	WP_129423458.1
N0.HOG0000419	OG0000368	n0	WP_117563514.1	WP_152063734.1	WP_102338448.1	WP_081469060.1	WP_129425536.1
N0.HOG0000420	OG0000369	n0	WP_117563534.1	WP_118102479.1	WP_102337902.1	WP_042435881.1	WP_129424845.1
N0.HOG0000421	OG0000370	n0	WP_117563814.1	WP_152063527.1	WP_102338288.1	WP_042437043.1	WP_129425174.1
N0.HOG0000422	OG0000371	n0	WP_117563856.1	WP_006723739.1	WP_102338338.1	WP_042433281.1	WP_129423080.1
N0.HOG0000423	OG0000372	n0	WP_117563965.1	WP_226803201.1	WP_102338493.1	WP_042434668.1	WP_236648272.1
N0.HOG0000424	OG0000373	n0	WP_117564038.1	WP_152063477.1	WP_102338099.1	WP_042435731.1	WP_129424671.1
N0.HOG0000425	OG0000374	n0	WP_117564039.1	WP_152063478.1	WP_102338095.1	WP_042435732.1	WP_129424673.1
N0.HOG0000426	OG0000375	n0	WP_117564242.1	WP_152063187.1	WP_102337493.1	WP_042434602.1	WP_129424301.1
N0.HOG0000427	OG0000376	n0	WP_117564265.1	WP_152063137.1	WP_102337431.1	WP_042436869.1	WP_129423864.1
N0.HOG0000428	OG0000377	n0	WP_117564389.1	WP_152063364.1	WP_102337316.1	WP_042434802.1	WP_129424138.1
N0.HOG0000429	OG0000378	n0	WP_117564743.1	WP_006723977.1	WP_102337949.1	WP_042435368.1	WP_129425472.1
N0.HOG0000430	OG0000379	n0	WP_117564871.1	WP_152062812.1	WP_102337716.1	WP_042434347.1	WP_129422816.1
N0.HOG0000431	OG0000380	n0	WP_117564881.1	WP_152062798.1	WP_234346113.1	WP_202898183.1	WP_129424735.1
N0.HOG0000432	OG0000381	n0	WP_117564883.1	WP_152062795.1	WP_102337230.1	WP_238318279.1	WP_236648267.1
N0.HOG0000433	OG0000382	n0	WP_117564915.1	WP_152062841.1	WP_102338278.1	WP_042436577.1	WP_129425544.1
N0.HOG0000434	OG0000383	n0	WP_117564942.1	WP_152062921.1, WP_226803323.1, WP_226803324.1, WP_118272398.1			
N0.HOG0000435	OG0000384	n0	WP_117583361.1	WP_006723207.1	WP_102338340.1	WP_042433833.1	WP_129423009.1
N0.HOG0000436	OG0000385	n0	WP_117583490.1	WP_152063048.1	WP_102337388.1	WP_081468925.1	WP_129422939.1
N0.HOG0000437	OG0000386	n0	WP_117583507.1	WP_118271253.1	WP_102337519.1	WP_042433564.1	WP_129423291.1
N0.HOG0000438	OG0000387	n0	WP_117583571.1	WP_152063787.1	WP_102337951.1	WP_042434672.1	WP_129424240.1
N0.HOG0000439	OG0000388	n0	WP_117583579.1	WP_152062702.1		WP_042432625.1	WP_129423148.1, WP_201738633.1
N0.HOG0000440	OG0000389	n0	WP_117583590.1	WP_006723768.1	WP_102338281.1	WP_042432136.1	WP_129423414.1
N0.HOG0000441	OG0000390	n0	WP_117772878.1, WP_117583629.1	WP_152062701.1		WP_042432622.1	WP_129423322.1
N0.HOG0000442	OG0000391	n0	WP_117583748.1	WP_152062984.1	WP_102337330.1	WP_042433853.1	WP_129423003.1
N0.HOG0000443	OG0000392	n0	WP_117583750.1	WP_152062982.1	WP_102337329.1	WP_042433850.1	WP_129423004.1
N0.HOG0000444	OG0000393	n0	WP_117583949.1	WP_226803185.1	WP_102337685.1	WP_042434293.1	WP_129422837.1
N0.HOG0000445	OG0000394	n0	WP_117584002.1	WP_152063370.1	WP_102338486.1	WP_042437058.1	WP_129425063.1
N0.HOG0000446	OG0000395	n0	WP_117584170.1	WP_152063543.1	WP_102338274.1	WP_042432510.1	WP_129423367.1
N0.HOG0000447	OG0000396	n0	WP_117584196.1	WP_193221196.1	WP_159060068.1	WP_042432180.1	WP_236648247.1
N0.HOG0000448	OG0000397	n0	WP_117628983.1	WP_152062713.1	WP_199824842.1	WP_042435600.1	WP_129424807.1
N0.HOG0000449	OG0000398	n0	WP_117628993.1	WP_193221229.1	WP_234346239.1	WP_042434880.1	WP_129424070.1
N0.HOG0000450	OG0000399	n0	WP_117629769.1	WP_006723622.1	WP_102337740.1	WP_042434707.1	WP_201738600.1
N0.HOG0000451	OG0000400	n0	WP_117629799.1	WP_152063482.1	WP_102338093.1	WP_042436967.1	WP_129423783.1
N0.HOG0000452	OG0000401	n0	WP_117634311.1	WP_152063818.1	WP_102337987.1	WP_042432858.1	WP_129423206.1
N0.HOG0000453	OG0000402	n0	WP_117635931.1	WP_039910423.1	WP_102337580.1, WP_102337710.1		WP_161566680.1
N0.HOG0000454	OG0000403	n0	WP_117635941.1	WP_152062800.1	WP_102337748.1	WP_042434334.1	WP_129422820.1
N0.HOG0000455	OG0000404	n0	WP_117636008.1	WP_152063301.1	WP_102337625.1	WP_042433326.1	WP_129423058.1
N0.HOG0000456	OG0000405	n0	WP_117637654.1	WP_039910734.1	WP_102338342.1	WP_042432847.1	WP_201738621.1
N0.HOG0000457	OG0000406	n0	WP_117638060.1	WP_006723000.1	WP_102337753.1	WP_238318261.1	WP_236648322.1
N0.HOG0000458	OG0000407	n0	WP_117639738.1	WP_152063614.1	WP_102338558.1	WP_042432987.1	WP_129423154.1
N0.HOG0000459	OG0000408	n0	WP_117639888.1	WP_152063233.1	WP_102337509.1	WP_042434148.1	WP_236648220.1
N0.HOG0000460	OG0000409	n0	WP_117640571.1	WP_152063838.1, WP_152063837.1, WP_193221231.1	WP_102338473.1		
N0.HOG0000461	OG0000410	n0	WP_124786659.1, WP_117774092.1, WP_117640602.1, WP_124786419.1				WP_129423456.1
N0.HOG0000462	OG0000411	n0	WP_117646163.1	WP_152062761.1	WP_102338048.1	WP_042435674.1	WP_129424616.1
N0.HOG0000463	OG0000412	n0	WP_117646379.1	WP_152063186.1	WP_102337492.1	WP_042434599.1	WP_129424303.1
N0.HOG0000464	OG0000413	n0	WP_117647214.1	WP_152063304.1	WP_102337628.1	WP_202898055.1	WP_129423061.1
N0.HOG0000465	OG0000414	n0	WP_117647216.1	WP_152063303.1	WP_102337627.1	WP_081468899.1	WP_129423060.1
N0.HOG0000466	OG0000415	n0	WP_117647217.1	WP_152063302.1	WP_102337626.1	WP_042433323.1	WP_129423059.1
N0.HOG0000467	OG0000416	n0	WP_117647346.1	WP_226803250.1	WP_234346184.1	WP_081468898.1	WP_129423065.1
N0.HOG0000468	OG0000417	n0	WP_117647466.1	WP_226803362.1	WP_102338446.1	WP_081469056.1	WP_129425297.1
N0.HOG0000469	OG0000418	n0	WP_117647468.1	WP_226803347.1	WP_234346338.1	WP_052297809.1	WP_129424446.1
N0.HOG0000470	OG0000419	n0	WP_117654800.1	WP_152063168.1	WP_102337473.1	WP_081468928.1	WP_201738807.1
N0.HOG0000471	OG0000420	n0	WP_117654802.1	WP_152063234.1	WP_102337510.1	WP_042434145.1	WP_129422900.1
N0.HOG0000472	OG0000421	n0	WP_117655047.1	WP_039910339.1	WP_006720939.1	WP_042434722.1	WP_042434722.1
N0.HOG0000473	OG0000422	n0	WP_117655131.1	WP_152062932.1	WP_102337301.1	WP_042436952.1	WP_129423800.1
N0.HOG0000474	OG0000423	n0	WP_117655181.1	WP_152063728.1	WP_102338470.1	WP_042432546.1	WP_129423350.1
N0.HOG0000475	OG0000424	n0	WP_117655644.1	WP_152062797.1	WP_102337233.1	WP_042437078.1	WP_129424737.1
N0.HOG0000476	OG0000425	n0	WP_117655648.1	WP_152062805.1	WP_102338543.1	WP_042432943.1	WP_129423176.1
N0.HOG0000477	OG0000426	n0	WP_117735979.1	WP_152062882.1	WP_234346200.1	WP_042433880.1	WP_129422994.1
N0.HOG0000478	OG0000427	n0	WP_117736274.1	WP_006722450.1	WP_102337569.1	WP_042436938.1	WP_129423806.1
N0.HOG0000479	OG0000428	n0	WP_117736309.1	WP_152063243.1	WP_234346170.1	WP_042434916.1	WP_129424038.1
N0.HOG0000480	OG0000429	n0	WP_117742779.1	WP_006722684.1	WP_102337437.1	WP_042436018.1	WP_129424915.1
N0.HOG0000481	OG0000430	n0	WP_117745773.1			WP_042434705.1, WP_042435039.1	WP_129423075.1, WP_129423945.1
N0.HOG0000482	OG0000431	n0	WP_117745946.1	WP_152063181.1	WP_102337488.1	WP_042434589.1	WP_129424311.1
N0.HOG0000483	OG0000432	n0	WP_117756859.1	WP_152063830.1	WP_102338333.1	WP_042432686.1	WP_129423292.1
N0.HOG0000484	OG0000433	n0	WP_117757788.1	WP_152063380.1	WP_102337272.1	WP_238318322.1	WP_129426220.1
N0.HOG0000485	OG0000434	n1	WP_117757953.1			WP_222859227.1	WP_129423107.1
N0.HOG0000486	OG0000434	n3	WP_117774414.1				WP_129422793.1
N0.HOG0000487	OG0000435	n0	WP_117758331.1	WP_152063001.1	WP_102337346.1	WP_042436498.1	WP_129425758.1
N0.HOG0000488	OG0000436	n0	WP_117758513.1	WP_152063165.1	WP_102337471.1	WP_042434170.1	WP_129422887.1
N0.HOG0000489	OG0000437	n0	WP_117758534.1	WP_152063136.1	WP_102337430.1	WP_042436874.1	WP_129423862.1
N0.HOG0000490	OG0000438	n0	WP_117758558.1	WP_152062949.1	WP_102337288.1	WP_042435950.1	WP_129424809.1
N0.HOG0000491	OG0000439	n0	WP_117759589.1	WP_006723709.1	WP_102337978.1	WP_202898114.1	WP_201738695.1
N0.HOG0000492	OG0000440	n0	WP_117759599.1	WP_152062711.1	WP_102338037.1	WP_042435644.1	WP_129425123.1
N0.HOG0000493	OG0000441	n0	WP_117766417.1	WP_152062839.1	WP_102337997.1	WP_042435784.1	WP_129424681.1
N0.HOG0000494	OG0000442	n0	WP_117766657.1	WP_152063076.1	WP_102337424.1	WP_148514751.1	WP_201738587.1
N0.HOG0000495	OG0000443	n0	WP_117769723.1	WP_152063446.1	WP_102338145.1	WP_042432285.1	WP_129423511.1
N0.HOG0000496	OG0000444	n0	WP_117770263.1	WP_152062833.1	WP_102338017.1	WP_042432020.1	WP_129423763.1
N0.HOG0000497	OG0000445	n0	WP_117770264.1	WP_039910700.1	WP_102338016.1	WP_042432017.1	WP_129423765.1
N0.HOG0000498	OG0000446	n0	WP_117772872.1	WP_006723288.1	WP_102337972.1	WP_042434996.1	WP_129423987.1
N0.HOG0000499	OG0000447	n0	WP_117772874.1	WP_152063796.1	WP_102337960.1	WP_042434731.1	WP_129424194.1
N0.HOG0000500	OG0000448	n0	WP_117772884.1	WP_152063792.1	WP_234346230.1	WP_202898107.1	WP_201738701.1
N0.HOG0000501	OG0000449	n0	WP_117772886.1	WP_152063791.1	WP_102337956.1	WP_042434687.1	WP_129424230.1
N0.HOG0000502	OG0000450	n0	WP_117772888.1	WP_152063790.1	WP_102337955.1	WP_042434684.1	WP_129424232.1
N0.HOG0000503	OG0000451	n0	WP_117772902.1, WP_233543591.1	WP_006723255.1, WP_118272036.1	WP_102337944.1		
N0.HOG0000504	OG0000452	n0	WP_117772908.1	WP_152063593.1	WP_102337937.1	WP_042432926.1	WP_129423183.1
N0.HOG0000505	OG0000453	n0	WP_117772965.1	WP_152063005.1	WP_102337347.1	WP_042436488.1	WP_129425768.1
N0.HOG0000506	OG0000454	n0	WP_117773345.1	WP_152062886.1, WP_152062880.1	WP_102337759.1	WP_042433871.1	
N0.HOG0000507	OG0000455	n0	WP_117773347.1	WP_152062879.1	WP_102337765.1	WP_042433862.1	WP_129423000.1
N0.HOG0000508	OG0000456	n0	WP_117773349.1	WP_152062878.1	WP_102337766.1	WP_042433859.1	WP_129423001.1
N0.HOG0000509	OG0000457	n0	WP_117773373.1	WP_226803179.1	WP_234346361.1	WP_081468958.1	WP_201738687.1
N0.HOG0000510	OG0000458	n0	WP_117773474.1	WP_152063695.1		WP_042434993.1, WP_042432975.1	WP_129423989.1
N0.HOG0000511	OG0000459	n0	WP_117773477.1	WP_152063693.1	WP_102338417.1	WP_042434720.1	WP_129424200.1
N0.HOG0000512	OG0000460	n0	WP_117773482.1	WP_006723113.1	WP_102338412.1	WP_042434751.1	WP_129424178.1
N0.HOG0000513	OG0000461	n0	WP_117773502.1	WP_193221164.1	WP_102337453.1	WP_202898096.1	WP_129424463.1
N0.HOG0000514	OG0000462	n0	WP_117773507.1	WP_152063159.1	WP_102337461.1	WP_042434200.1	WP_129422877.1
N0.HOG0000515	OG0000463	n0	WP_117773508.1	WP_152063160.1	WP_102337462.1	WP_202898087.1	WP_129422879.1
N0.HOG0000516	OG0000464	n0	WP_117773509.1	WP_152063161.1	WP_102337463.1	WP_238318270.1	WP_129422880.1
N0.HOG0000517	OG0000465	n0	WP_117773510.1	WP_006722652.1	WP_102337465.1	WP_042434185.1	WP_129422882.1
N0.HOG0000518	OG0000466	n0	WP_117773511.1	WP_006722651.1	WP_102337466.1	WP_042434182.1	WP_129422883.1
N0.HOG0000519	OG0000467	n0	WP_117773512.1	WP_152063162.1	WP_102337467.1	WP_042434178.1	WP_161566568.1
N0.HOG0000520	OG0000468	n0	WP_117773515.1	WP_152063166.1	WP_102337472.1	WP_052297798.1	WP_129422888.1
N0.HOG0000521	OG0000469	n0	WP_117773517.1	WP_152063198.1	WP_102337505.1	WP_042434160.1	WP_129422893.1
N0.HOG0000522	OG0000470	n0	WP_117773519.1	WP_152063235.1	WP_102337511.1	WP_042434143.1	WP_129422901.1
N0.HOG0000523	OG0000471	n0	WP_117773744.1, WP_124786030.1	WP_193221197.1		WP_042436030.1	WP_129424929.1
N0.HOG0000524	OG0000472	n0	WP_117773847.1	WP_152063253.1	WP_102337542.1	WP_042434277.1	WP_129422845.1
N0.HOG0000525	OG0000473	n0	WP_117773849.1	WP_152063255.1	WP_102337544.1	WP_042434280.1	WP_129422844.1
N0.HOG0000526	OG0000474	n0	WP_117773877.1	WP_152063473.1	WP_102338102.1	WP_202898043.1	WP_129423169.1
N0.HOG0000527	OG0000475	n0	WP_117773878.1				WP_129425035.1, WP_161566657.1, WP_269089549.1, WP_129425560.1
N0.HOG0000528	OG0000476	n0	WP_117774224.1	WP_152063447.1	WP_102338143.1	WP_042432288.1	WP_129423516.1
N0.HOG0000529	OG0000477	n0	WP_117774255.1	WP_152063524.1	WP_234346310.1	WP_042435283.1	WP_129424126.1
N0.HOG0000530	OG0000478	n0	WP_117774294.1	WP_152063724.1	WP_102338478.1	WP_042432664.1	WP_129423301.1
N0.HOG0000531	OG0000479	n0	WP_117774295.1	WP_226803345.1	WP_199824894.1	WP_042432667.1	WP_129423300.1
N0.HOG0000532	OG0000480	n0	WP_117774350.1	WP_152063713.1	WP_102337969.1	WP_081469059.1	WP_201738866.1
N0.HOG0000533	OG0000481	n0	WP_117774375.1	WP_006723122.1	WP_102337795.1	WP_052297743.1	WP_201738662.1
N0.HOG0000534	OG0000482	n0	WP_117774377.1	WP_226803342.1	WP_102337800.1	WP_042433925.1	WP_129422977.1
N0.HOG0000535	OG0000483	n0	WP_117774379.1	WP_152062732.1	WP_102338227.1	WP_042433313.1	WP_129423064.1
N0.HOG0000536	OG0000484	n0	WP_117776110.1	WP_152062814.1	WP_102337714.1	WP_042434341.1	WP_129422818.1
N0.HOG0000537	OG0000485	n0	WP_117776111.1	WP_152062815.1	WP_102337712.1	WP_042434338.1	WP_129422819.1
N0.HOG0000538	OG0000486	n0	WP_117776228.1	WP_152063240.1	WP_102337516.1	WP_042434125.1	WP_129422908.1
N0.HOG0000539	OG0000487	n0	WP_117776261.1	WP_152063150.1	WP_234346158.1	WP_081469020.1	WP_129424897.1
N0.HOG0000540	OG0000488	n0	WP_117776407.1	WP_006723794.1	WP_102338276.1	WP_042434448.1	WP_129424456.1
N0.HOG0000541	OG0000489	n0	WP_117776573.1	WP_006723600.1	WP_234346306.1	WP_042435044.1	WP_129423939.1
N0.HOG0000542	OG0000490	n0	WP_117776583.1	WP_152062759.1	WP_102338055.1	WP_238318275.1	WP_129424246.1
N0.HOG0000543	OG0000491	n0	WP_117778978.1	WP_152062935.1	WP_102337986.1	WP_042433911.1	WP_129422984.1
N0.HOG0000544	OG0000492	n0	WP_117779341.1	WP_152063355.1	WP_102337307.1	WP_081469082.1	WP_129424705.1
N0.HOG0000545	OG0000493	n0	WP_117779350.1			WP_042436307.1, WP_042436363.1, WP_148514812.1	WP_129424835.1
N0.HOG0000546	OG0000494	n0	WP_117779374.1	WP_152062699.1	WP_102338275.1	WP_042434784.1	WP_129424150.1
N0.HOG0000547	OG0000495	n0	WP_117786324.1	WP_152062945.1	WP_102337287.1	WP_042432824.1	WP_129423219.1
N0.HOG0000548	OG0000496	n0	WP_117786522.1	WP_152063008.1	WP_102337364.1	WP_042436064.1	WP_129425011.1
N0.HOG0000549	OG0000497	n0	WP_117790368.1	WP_006722492.1	WP_102337538.1	WP_238318266.1	WP_201738585.1
N0.HOG0000550	OG0000498	n0	WP_117798188.1	WP_039910217.1	WP_102337571.1	WP_081468940.1	WP_129424444.1
N0.HOG0000551	OG0000499	n0	WP_117799806.1	WP_152063843.1	WP_102338282.1	WP_042433228.1	WP_129423096.1
N0.HOG0000552	OG0000500	n0	WP_117800340.1	WP_152062793.1	WP_102338248.1	WP_042435074.1	WP_129426100.1
N0.HOG0000553	OG0000501	n0	WP_117800446.1	WP_039910310.1	WP_102337691.1	WP_042436622.1	WP_129425493.1
N0.HOG0000554	OG0000502	n0	WP_117800809.1	WP_152063504.1	WP_102338156.1	WP_042432202.1	WP_129423452.1
N0.HOG0000555	OG0000503	n0	WP_117803619.1	WP_152063812.1	WP_102338567.1	WP_052297821.1	WP_129424080.1
N0.HOG0000556	OG0000504	n0	WP_117806506.1	WP_152062941.1	WP_102337645.1	WP_042433987.1	WP_129422951.1
N0.HOG0000557	OG0000505	n0	WP_117817160.1	WP_152062887.1	WP_102337750.1	WP_042436837.1	WP_129423896.1
N0.HOG0000558	OG0000506	n0	WP_117817796.1	WP_118103710.1	WP_102337320.1	WP_042435365.1	WP_129425480.1
N0.HOG0000559	OG0000507	n0	WP_117820562.1	WP_152063172.1	WP_102337477.1	WP_042434484.1	WP_129424406.1
N0.HOG0000560	OG0000508	n0	WP_117839678.1	WP_006723013.1	WP_102337769.1	WP_042432349.1	WP_129423570.1
N0.HOG0000561	OG0000509	n0	WP_124786603.1, WP_241154585.1, WP_117839927.1	WP_118272243.1	WP_102338247.1		
N0.HOG0000562	OG0000510	n0	WP_117839940.1	WP_152062697.1	WP_102338285.1	WP_042432549.1	WP_129423349.1
N0.HOG0000563	OG0000511	n0	WP_117839953.1			WP_162096564.1, WP_148514816.1	WP_161566668.1, WP_129424899.1
N0.HOG0000564	OG0000512	n0	WP_117839958.1	WP_006723782.1	WP_102338014.1	WP_042432011.1	WP_129423769.1
N0.HOG0000565	OG0000513	n0	WP_117840013.1	WP_152063687.1	WP_102337793.1	WP_042434760.1	WP_129424166.1
N0.HOG0000566	OG0000514	n0	WP_117840019.1	WP_152063768.1	WP_102338343.1	WP_042432852.1	WP_129423208.1
N0.HOG0000567	OG0000515	n0	WP_117840158.1	WP_152062863.1	WP_102338457.1	WP_042432524.1	WP_129423353.1
N0.HOG0000568	OG0000516	n0	WP_117840163.1			WP_042436296.1, WP_042434415.1	WP_129424492.1, WP_129425574.1
N0.HOG0000569	OG0000517	n0	WP_117840306.1	WP_152063192.1	WP_102337498.1	WP_052297781.1	WP_129423094.1
N0.HOG0000570	OG0000518	n0	WP_117840346.1	WP_152062766.1	WP_102338045.1	WP_042432468.1	WP_129423390.1
N0.HOG0000571	OG0000519	n0	WP_117840348.1	WP_152062765.1	WP_102338046.1	WP_042432343.1	WP_129423565.1
N0.HOG0000572	OG0000520	n0	WP_117840453.1	WP_152062737.1	WP_102338263.1	WP_042434558.1	WP_201738708.1
N0.HOG0000573	OG0000521	n0	WP_117843120.1	WP_152063831.1	WP_102337229.1	WP_042434833.1	WP_129424110.1
N0.HOG0000574	OG0000522	n0	WP_118079381.1	WP_006723049.1	WP_102338401.1	WP_042433633.1	WP_129423201.1
N0.HOG0000575	OG0000523	n0	WP_118081984.1	WP_152063525.1	WP_102338267.1	WP_081468842.1	WP_129423751.1
N0.HOG0000576	OG0000524	n0	WP_118094275.1	WP_152063194.1	WP_102337500.1	WP_042436008.1	WP_201738739.1
N0.HOG0000577	OG0000525	n0	WP_118225837.1	WP_152063247.1	WP_102337532.1	WP_202898135.1	WP_201738838.1
N0.HOG0000578	OG0000526	n0	WP_124786116.1, WP_118256809.1, WP_124786584.1	WP_226803320.1	WP_234346312.1		
N0.HOG0000579	OG0000527	n0	WP_118377125.1	WP_226803276.1	WP_102337240.1	WP_042432660.1	WP_129423303.1
N0.HOG0000580	OG0000528	n0	WP_118387804.1	WP_152063065.1	WP_102337409.1	WP_042434515.1	WP_129424382.1
N0.HOG0000581	OG0000529	n0	WP_118935108.1	WP_118271424.1	WP_102337267.1	WP_042435042.1	WP_129423941.1
N0.HOG0000582	OG0000530	n0	WP_124785704.1	WP_006723493.1	WP_102338142.1	WP_042432291.1	WP_129423518.1
N0.HOG0000583	OG0000531	n0	WP_124785706.1	WP_152063444.1	WP_102338146.1	WP_238318234.1	WP_129423507.1
N0.HOG0000584	OG0000532	n0	WP_124785708.1	WP_152062749.1	WP_102338062.1	WP_042432274.1	WP_129423503.1
N0.HOG0000585	OG0000533	n0	WP_124786723.1, WP_124785924.1, WP_124785711.1, WP_164473263.1, WP_124785922.1				
N0.HOG0000586	OG0000534	n0	WP_124785714.1	WP_152063468.1	WP_102338107.1	WP_042432241.1	WP_129423483.1
N0.HOG0000587	OG0000535	n0	WP_124785715.1	WP_152063469.1	WP_102338106.1	WP_042432238.1	WP_129423481.1
N0.HOG0000588	OG0000536	n0	WP_124785721.1	WP_152063479.1	WP_102338094.1	WP_042435779.1	WP_129424679.1
N0.HOG0000589	OG0000537	n0	WP_124785723.1	WP_152063481.1	WP_234346269.1	WP_042432271.1	WP_129423501.1
N0.HOG0000590	OG0000538	n0	WP_124785751.1	WP_152062696.1	WP_102338286.1	WP_042434211.1	WP_129422871.1
N0.HOG0000591	OG0000539	n0	WP_124785752.1	WP_152062695.1	WP_102338287.1	WP_042432037.1	WP_129423747.1
N0.HOG0000592	OG0000540	n0	WP_124785755.1	WP_152062694.1	WP_102338277.1	WP_202898019.1	WP_201738672.1
N0.HOG0000593	OG0000541	n0	WP_124785758.1	WP_152062834.1	WP_102338015.1	WP_042432014.1	WP_129423767.1
N0.HOG0000594	OG0000542	n0	WP_124785768.1	WP_152063503.1	WP_102338155.1	WP_042432206.1	WP_129423454.1
N0.HOG0000595	OG0000543	n0	WP_124785783.1	WP_152063514.1	WP_102338200.1	WP_042436571.1	WP_129426212.1
N0.HOG0000596	OG0000544	n0	WP_124785791.1	WP_152062731.1	WP_102338203.1	WP_042432676.1	WP_129423297.1
N0.HOG0000597	OG0000545	n0	WP_124785793.1	WP_152063540.1	WP_102338270.1	WP_042432678.1	WP_129423298.1
N0.HOG0000598	OG0000546	n0	WP_124785795.1	WP_152063541.1	WP_102338272.1	WP_042432407.1	WP_129423640.1
N0.HOG0000599	OG0000547	n0	WP_124785797.1	WP_152063545.1	WP_102338033.1	WP_042435248.1	WP_236648274.1
N0.HOG0000600	OG0000548	n0	WP_124785799.1	WP_152062950.1	WP_102337289.1	WP_042434302.1	WP_129422831.1
N0.HOG0000601	OG0000549	n0	WP_124785801.1	WP_006723310.1	WP_102338030.1	WP_042434561.1	WP_129424350.1
N0.HOG0000602	OG0000550	n0	WP_124785803.1	WP_152063549.1	WP_102338029.1	WP_202898102.1	WP_201738707.1
N0.HOG0000603	OG0000551	n0	WP_124785808.1	WP_226803326.1	WP_102337921.1	WP_042436851.1	WP_161566608.1
